"Team","possession","number_of_goals","assists","yellow_cards","passes","total_attempts","on_target_attempts","off_target_attempts","fouls_against","offsides","passes_completed","corners","free_kicks","penalties_scored","defensive_pressures_applied","match","pass_completion","percent_on_target","percent_yellow_cards_fouls_against","offside_corners","yellow_card_defensive_pressure","goals_attempts","goals_passes"
"UNITED STATES",54,1,1,0,567,18,7,4,5,3,487,5,10,0,256,"Match 1",85.89,38.89,0,60,0,5.56,0.21
"AUSTRALIA",35,1,0,2,450,5,2,2,15,0,381,3,11,0,453,"Match 2",84.67,40,13.33,0,0.44,20,0.26
"POLAND",42,1,0,2,466,11,3,5,8,1,391,1,11,1,297,"Match 3",83.91,27.27,25,100,0.67,9.09,0.26
"SENEGAL",35,0,0,1,393,10,2,6,12,0,320,3,16,0,339,"Match 4",81.42,20,8.33,0,0.29,0,0
"CROATIA",51,1,1,2,735,16,4,8,16,0,624,5,16,0,308,"Match 5",84.9,25,12.5,0,0.65,6.25,0.16
"KOREA REPUBLIC",44,1,0,1,548,10,6,2,13,5,486,4,8,0,329,"Match 6",88.69,60,7.69,125,0.3,10,0.21
"SPAIN",68,0,0,1,1041,13,1,6,14,4,967,8,20,0,217,"Match 7",92.89,7.69,7.14,50,0.46,0,0
"SWITZERLAND",48,1,0,2,512,10,1,7,10,3,436,6,15,0,240,"Match 8",85.16,10,20,50,0.83,10,0.23
"NETHERLANDS",33,3,3,2,396,11,6,4,10,0,320,4,8,0,325,"Match 1",80.81,54.55,20,0,0.62,27.27,0.94
"ARGENTINA",53,2,1,0,711,14,5,7,8,4,635,1,15,0,240,"Match 2",89.31,35.71,0,400,0,14.29,0.31
"FRANCE",48,3,3,1,540,16,7,7,10,3,481,7,8,0,220,"Match 3",89.07,43.75,10,42.86,0.45,18.75,0.62
"ENGLAND",54,3,3,0,597,8,4,4,16,0,523,3,12,0,230,"Match 4",87.6,50,0,0,0,37.5,0.57
"JAPAN",35,1,1,0,532,12,4,4,13,3,414,8,16,0,405,"Match 5",77.82,33.33,0,37.5,0,8.33,0.24
"BRAZIL",47,4,3,0,616,18,9,8,8,0,556,5,16,1,310,"Match 6",90.26,50,0,0,0,22.22,0.72
"MOROCCO",22,0,0,1,323,6,3,3,15,5,229,0,18,0,573,"Match 7",70.9,50,6.67,Inf,0.17,0,0
"PORTUGAL",43,6,5,0,461,14,9,2,12,3,392,6,13,0,357,"Match 8",85.03,64.29,0,50,0,42.86,1.53
